test_id,y_pred
73018,depression
103472,anxiety
2468,stress
99098,anxiety
357,stress
78493,stress
74545,depression
71840,depression
92943,anxiety
15114,anxiety
39900,depression
9479,bipolar
57408,normal
39007,depression
59812,depression
31970,normal
54115,depression
25986,stress
99162,depression
7833,stress
22518,stress
91770,normal
99611,depression
22284,stress
54426,depression
12845,stress
2303,anxiety
70484,suicidal
48755,depression
46300,depression
92222,personality disorder
28056,normal
72432,normal
38858,suicidal
14907,anxiety
88734,bipolar
60972,depression
5724,stress
9656,stress
15708,bipolar
67114,depression
15067,anxiety
96899,depression
2986,stress
11842,stress
80988,stress
51187,depression
70903,depression
43426,depression
98232,anxiety
70490,normal
7654,stress
53899,depression
73449,suicidal
77810,stress
18767,stress
26975,normal
71237,depression
63784,depression
10092,anxiety
31438,depression
13182,anxiety
41197,depression
74370,depression
64202,depression
90954,stress
44274,depression
19623,anxiety
42803,depression
100572,anxiety
87463,bipolar
36639,depression
69291,depression
55928,anxiety
85539,suicidal
24098,bipolar
28534,normal
32738,depression
5371,anxiety
45443,suicidal
33967,depression
14327,bipolar
50941,depression
93731,stress
13566,bipolar
17487,stress
40295,suicidal
5112,stress
44015,depression
58469,normal
40628,depression
70263,depression
1542,bipolar
73910,depression
93728,stress
56291,normal
68777,depression
13241,bipolar
62936,normal
33827,depression
65912,depression
75650,depression
98285,anxiety
24518,anxiety
6888,anxiety
58733,normal
17566,stress
17497,stress
30871,normal
36662,depression
79493,stress
11664,normal
54975,depression
100584,anxiety
50542,depression
48248,normal
95477,stress
48405,depression
48901,depression
64978,depression
54425,depression
14909,anxiety
82423,stress
101926,anxiety
71533,depression
7559,anxiety
101629,anxiety
89983,stress
7491,anxiety
24598,anxiety
41480,depression
35852,depression
58591,normal
58459,normal
40654,depression
67069,normal
43850,depression
54219,depression
1965,depression
76507,depression
98275,anxiety
69564,depression
102945,anxiety
74064,suicidal
22422,stress
10976,anxiety
25632,anxiety
94405,stress
43402,depression
18432,anxiety
96746,depression
94906,stress
54819,depression
75175,depression
19423,personality disorder
35202,depression
38316,depression
62595,depression
15318,stress
100543,anxiety
98374,anxiety
19297,stress
70220,normal
79549,anxiety
3147,stress
92832,anxiety
76775,suicidal
46551,depression
47659,depression
11307,anxiety
84119,anxiety
43787,depression
29439,depression
70059,depression
6371,stress
92089,personality disorder
57838,normal
28833,normal
22852,stress
3859,stress
4237,stress
88241,anxiety
61849,normal
73862,depression
79190,stress
41655,suicidal
51297,depression
13854,personality disorder
66827,depression
17927,stress
18657,anxiety
65575,normal
45744,depression
35527,depression
14777,anxiety
2133,stress
100287,bipolar
31270,bipolar
91942,anxiety
72497,bipolar
10563,stress
76407,depression
4766,anxiety
50708,depression
32417,depression
82238,stress
11365,bipolar
19334,anxiety
53484,suicidal
83388,stress
66214,depression
26454,depression
53813,depression
9187,stress
5613,anxiety
16065,bipolar
22721,stress
22283,stress
15185,anxiety
90873,stress
4641,personality disorder
79583,bipolar
15110,stress
48930,depression
49788,depression
60600,depression
29805,normal
74743,depression
27675,depression
101572,anxiety
83736,stress
94617,stress
65973,depression
30907,normal
98826,stress
34283,suicidal
95426,depression
82434,stress
60940,depression
54389,depression
89043,stress
28341,depression
19845,personality disorder
84564,anxiety
1112,anxiety
30920,normal
63389,depression
30700,depression
58177,normal
70644,depression
26369,stress
35874,depression
41305,depression
73454,depression
14873,stress
44208,depression
63261,normal
23024,bipolar
14123,bipolar
72885,depression
31665,normal
25379,anxiety
102672,anxiety
92907,anxiety
83617,anxiety
52658,suicidal
102144,anxiety
37772,depression
29311,normal
44230,depression
12719,stress
35632,depression
10093,anxiety
88237,anxiety
50661,depression
18563,personality disorder
34238,anxiety
40479,depression
56878,normal
30443,depression
22332,stress
93975,stress
41297,depression
73005,normal
28154,normal
3994,bipolar
25623,anxiety
87574,anxiety
97346,anxiety
54927,depression
57333,normal
82389,anxiety
53058,depression
27590,depression
78020,anxiety
15801,personality disorder
92445,anxiety
16046,stress
15804,stress
15212,anxiety
3185,anxiety
4177,bipolar
8818,anxiety
28369,normal
94347,stress
11150,anxiety
22684,stress
35396,depression
16971,personality disorder
92782,anxiety
25606,anxiety
41271,depression
75997,depression
37084,depression
57575,normal
59628,normal
67817,normal
24090,stress
66830,depression
36224,depression
591,anxiety
149,stress
84905,stress
67098,depression
84893,stress
53298,depression
75999,depression
59600,normal
24795,anxiety
62799,normal
59124,normal
48970,depression
93734,stress
62494,normal
96929,bipolar
89061,bipolar
22280,stress
53195,depression
5479,stress
41798,depression
94371,stress
63425,depression
57435,normal
90490,anxiety
84542,bipolar
87279,anxiety
31990,normal
54690,depression
93051,stress
22647,stress
56219,normal
14280,anxiety
17664,anxiety
100619,anxiety
39215,depression
48342,suicidal
79354,stress
31050,depression
63061,depression
32907,normal
22495,stress
100863,anxiety
79637,stress
91482,personality disorder
1751,bipolar
55623,depression
77358,stress
65820,depression
61806,depression
4640,stress
62186,normal
27708,depression
39827,depression
77659,personality disorder
59735,depression
14520,personality disorder
92151,bipolar
18655,bipolar
36932,depression
24494,anxiety
47557,suicidal
76803,normal
64354,depression
20430,personality disorder
30272,normal
52845,suicidal
23010,bipolar
60774,depression
189,stress
52916,depression
84336,anxiety
75187,depression
5866,stress
28022,normal
100100,anxiety
71719,depression
83167,stress
26134,anxiety
52426,depression
2229,anxiety
74444,depression
94158,stress
62491,normal
101225,depression
48108,depression
3523,stress
62414,depression
10060,stress
72848,depression
74542,depression
14696,anxiety
62810,depression
29939,depression
60362,depression
1312,stress
35227,depression
96993,personality disorder
43005,depression
2910,anxiety
100296,personality disorder
3923,bipolar
35473,depression
97479,stress
63748,depression
72179,depression
53995,depression
24708,anxiety
25839,stress
14912,stress
67392,depression
102625,personality disorder
60807,depression
57608,normal
26099,stress
17342,stress
68533,normal
78836,bipolar
52663,depression
68300,normal
80018,anxiety
253,bipolar
47462,depression
52310,depression
94380,stress
55944,depression
61766,normal
73909,depression
37034,depression
58304,normal
53135,depression
98742,anxiety
53733,depression
79275,bipolar
34573,depression
57409,normal
49342,depression
90602,anxiety
53409,depression
59882,depression
101427,anxiety
83827,bipolar
48671,depression
62818,depression
27248,depression
65924,depression
40157,depression
13036,anxiety
17021,stress
77330,stress
96926,depression
59257,normal
63790,depression
9092,anxiety
84072,stress
6228,bipolar
92563,anxiety
91889,personality disorder
100659,anxiety
38588,depression
60926,depression
23286,bipolar
77307,depression
83084,personality disorder
61467,depression
49867,depression
64582,depression
86979,anxiety
99172,anxiety
25190,anxiety
20282,bipolar
94533,stress
9199,stress
67341,depression
79657,stress
94067,stress
97266,bipolar
26018,stress
7947,stress
69267,depression
25658,anxiety
71064,depression
25156,anxiety
2344,anxiety
49509,depression
90975,stress
99263,anxiety
92915,anxiety
59053,normal
7433,stress
2186,bipolar
52372,depression
13447,anxiety
56202,depression
100845,personality disorder
91044,anxiety
40421,suicidal
41794,suicidal
35613,depression
56846,suicidal
4344,anxiety
68605,normal
23998,bipolar
73289,depression
71327,depression
11626,personality disorder
46100,depression
36288,depression
97679,stress
83062,bipolar
1180,anxiety
73927,depression
33536,depression
73488,depression
54988,depression
100519,anxiety
83423,anxiety
41711,suicidal
37837,depression
91617,personality disorder
97796,personality disorder
9522,anxiety
25959,anxiety
101755,stress
6815,stress
87417,stress
7401,bipolar
58063,normal
62011,depression
15709,stress
35038,depression
8781,stress
96375,anxiety
42200,depression
59664,normal
83575,anxiety
30031,normal
89499,stress
33712,depression
96372,bipolar
65968,depression
92946,stress
63133,normal
